modelo_1,modelo_2,modelo_3,maior
0.81995606,0.7946432,0.7643739,0.81995606
1.0,1.0,0.49996948,1.0
0.8081611,0.79019356,0.78926706,0.8081611
0.6054732,0.5498368,0.33251953,0.6054732
0.81644815,0.8216541,0.7955407,0.8216541
0.6996052,0.49562788,0.6703822,0.6996052
0.7498571,0.7552698,0.7307768,0.7552698
0.5831924,0.63060075,0.493016,0.63060075
0.33315024,0.49985752,0.43016878,0.49985752
0.794224,0.75240314,0.75740004,0.794224
0.62240624,0.6412072,0.63144517,0.6412072
0.7058943,0.7127468,0.68978846,0.7127468
0.745836,0.7522042,0.716606,0.7522042
0.7630134,0.7569883,0.71774244,0.7630134
0.64294255,0.64430326,0.64132786,0.64430326
0.7494116,0.72416013,0.69272494,0.7494116
0.70749676,0.71650285,0.7155875,0.71650285
0.8292819,0.8006344,0.78241956,0.8292819
0.8586811,0.8490327,0.8190542,0.8586811
0.7437335,0.7357482,0.7311337,0.7437335
0.79841775,0.7778198,0.7840326,0.79841775
0.55235165,0.57772344,0.59769523,0.59769523
0.518062,0.47145128,0.4510852,0.518062
0.77773196,0.7487277,0.73209393,0.77773196
0.49938962,0.4957845,0.5095705,0.5095705
0.7539447,0.7074099,0.7339766,0.7539447
0.80358094,0.76871103,0.7232232,0.80358094
0.6673492,0.6756364,0.65125155,0.6756364
0.7342097,0.7454224,0.7429856,0.7454224
0.50753886,0.5836693,0.5453624,0.5836693
0.57719874,0.7122821,0.5564494,0.7122821
0.5632361,0.57962716,0.4064086,0.57962716
0.70624685,0.6687429,0.67144614,0.70624685
0.76617336,0.7602443,0.8000738,0.8000738
0.78521353,0.74759954,0.72702706,0.78521353
0.9093602,0.8919194,0.8744563,0.9093602
0.8350734,0.80535686,0.7929707,0.8350734
0.6741216,0.7354818,0.70316756,0.7354818
0.721616,0.6934997,0.57605356,0.721616
0.82585716,0.8491546,0.80936897,0.8491546
0.617362,0.63147736,0.62354404,0.63147736
0.70167387,0.71848077,0.598686,0.71848077
0.71503264,0.7393244,0.6367438,0.7393244
0.6927532,0.6737528,0.67519104,0.6927532
0.93536156,0.70138466,0.93548036,0.93548036
0.61604786,0.5815005,0.52435184,0.61604786
0.9317546,0.69464296,0.91921455,0.9317546
0.740119,0.68551385,0.6494654,0.740119
0.61084646,0.71133804,0.33288574,0.71133804
0.6862058,0.68274975,0.65244156,0.6862058
0.622383,0.66873777,0.6588554,0.66873777
0.53660434,0.5344136,0.44879234,0.53660434
0.7882385,0.74373573,0.6670799,0.7882385
0.69817185,0.69916725,0.69011426,0.69916725
0.82738185,0.82466614,0.80841905,0.82738185
0.3886447,0.33317056,0.3937359,0.3937359
0.7968969,0.7943689,0.78499955,0.7968969
0.6404996,0.7048299,0.6304867,0.7048299
0.72664094,0.7298089,0.7094722,0.7298089
0.69930977,0.68857694,0.5986086,0.69930977
0.516781,0.53332347,0.55196816,0.55196816
0.721967,0.50131005,0.48466447,0.721967
0.53938824,0.5690403,0.77313644,0.77313644
0.8234952,0.6204943,0.837686,0.837686
0.7192809,0.7430521,0.6728953,0.7430521
0.80099565,0.5810939,0.80569106,0.80569106
0.6003358,0.5917784,0.6951027,0.6951027
0.5789955,0.518397,0.5818013,0.5818013
0.7684653,0.7710198,0.77155477,0.77155477
0.7796997,0.7956075,0.7717741,0.7956075
0.6715641,0.6792531,0.5995792,0.6792531
0.7386643,0.73498106,0.68567824,0.7386643
0.7589044,0.76287013,0.711507,0.76287013
0.9426467,0.6983001,0.92875594,0.9426467
0.7895527,0.7868489,0.82556176,0.82556176
0.73201525,0.71348524,0.73806655,0.73806655
0.89845544,0.86994076,0.8879521,0.89845544
0.7593594,0.7343802,0.73296034,0.7593594
0.62120503,0.4677246,0.5597573,0.62120503
0.79826194,0.7712831,0.76386267,0.79826194
0.6242063,0.7984586,0.7024981,0.7984586
0.6297879,0.5947874,0.65167814,0.65167814
0.69377804,0.6550395,0.6582067,0.69377804
0.7675771,0.720255,0.70237345,0.7675771
0.5499917,0.5439592,0.5175265,0.5499917
0.7357174,0.7674507,0.69724834,0.7674507
0.34595454,0.4856225,0.47568145,0.4856225
0.874962,0.8427986,0.85415703,0.874962
0.76113445,0.746019,0.750916,0.76113445
0.67378855,0.6694226,0.61734515,0.67378855
0.8899172,0.6535245,0.8915262,0.8915262
0.68352795,0.6701788,0.6491295,0.68352795
0.7237289,0.696163,0.62690216,0.7237289
0.70122015,0.7056273,0.43187982,0.7056273
0.8177688,0.77305096,0.7946983,0.8177688
0.85023177,0.83056235,0.807634,0.85023177
0.82449126,0.787704,0.76171565,0.82449126
0.8749695,0.4665242,0.49987793,0.8749695
0.70323974,0.6951478,0.73133653,0.73133653
0.90049624,0.89014786,0.9025443,0.9025443
0.95229393,0.92786187,0.9321079,0.95229393
0.6536535,0.64903224,0.66604185,0.66604185
0.688923,0.69400096,0.63362813,0.69400096
0.5798085,0.5540566,0.6382945,0.6382945
0.83550847,0.82791877,0.7987799,0.83550847
0.8585139,0.84857464,0.80032897,0.8585139
0.7882184,0.7260901,0.7508105,0.7882184
0.469459,0.45119816,0.41202056,0.469459
0.80542004,0.7962113,0.75573444,0.80542004
0.5769134,0.57029647,0.6145888,0.6145888
0.6699108,0.6586501,0.6452944,0.6699108
0.86742944,0.6338791,0.8635414,0.86742944
0.6741516,0.66561145,0.6875021,0.6875021
0.4916563,0.49967405,0.3163848,0.49967405
0.7244444,0.6954759,0.67562085,0.7244444
0.76523805,0.7959461,0.689173,0.7959461
0.5947755,0.5572034,0.5446512,0.5947755
0.64671695,0.63528854,0.60372555,0.64671695
0.75901675,0.7426478,0.6356257,0.75901675
0.8176465,0.80839354,0.81673265,0.8176465
0.76393867,0.70961636,0.7490877,0.76393867
0.8530715,0.82456833,0.79230165,0.8530715
0.92202234,0.6713823,0.9451647,0.9451647
0.7935297,0.74066216,0.7905932,0.7935297
0.67345655,0.6765828,0.6551099,0.6765828
0.73467475,0.65850717,0.6821812,0.73467475
0.69030094,0.74976534,0.69319254,0.74976534
0.714612,0.70388967,0.6801357,0.714612
0.8043911,0.765656,0.8371374,0.8371374
0.71936256,0.72155786,0.7519199,0.7519199
0.54747343,0.5243649,0.7115088,0.7115088
0.742565,0.5707768,0.7355632,0.742565
0.74209213,0.7242978,0.7284794,0.74209213
