imgs,segs
HGG\flair\patient182_slice090.png,HGG\seg\patient182_slice090.png
LGG\flair\patient062_slice074.png,LGG\seg\patient062_slice074.png
HGG\flair\patient161_slice090.png,HGG\seg\patient161_slice090.png
HGG\flair\patient235_slice114.png,HGG\seg\patient235_slice114.png
HGG\flair\patient029_slice099.png,HGG\seg\patient029_slice099.png
HGG\flair\patient145_slice113.png,HGG\seg\patient145_slice113.png
HGG\flair\patient131_slice102.png,HGG\seg\patient131_slice102.png
HGG\flair\patient235_slice081.png,HGG\seg\patient235_slice081.png
HGG\flair\patient186_slice085.png,HGG\seg\patient186_slice085.png
HGG\flair\patient135_slice101.png,HGG\seg\patient135_slice101.png
LGG\flair\patient069_slice104.png,LGG\seg\patient069_slice104.png
HGG\flair\patient048_slice083.png,HGG\seg\patient048_slice083.png
HGG\flair\patient043_slice109.png,HGG\seg\patient043_slice109.png
HGG\flair\patient001_slice085.png,HGG\seg\patient001_slice085.png
HGG\flair\patient107_slice076.png,HGG\seg\patient107_slice076.png
HGG\flair\patient157_slice086.png,HGG\seg\patient157_slice086.png
HGG\flair\patient104_slice099.png,HGG\seg\patient104_slice099.png
HGG\flair\patient131_slice106.png,HGG\seg\patient131_slice106.png
HGG\flair\patient214_slice092.png,HGG\seg\patient214_slice092.png
LGG\flair\patient017_slice086.png,LGG\seg\patient017_slice086.png
HGG\flair\patient083_slice078.png,HGG\seg\patient083_slice078.png
LGG\flair\patient069_slice097.png,LGG\seg\patient069_slice097.png
HGG\flair\patient137_slice095.png,HGG\seg\patient137_slice095.png
HGG\flair\patient148_slice071.png,HGG\seg\patient148_slice071.png
HGG\flair\patient131_slice099.png,HGG\seg\patient131_slice099.png
HGG\flair\patient103_slice088.png,HGG\seg\patient103_slice088.png
HGG\flair\patient226_slice103.png,HGG\seg\patient226_slice103.png
HGG\flair\patient043_slice092.png,HGG\seg\patient043_slice092.png
HGG\flair\patient057_slice109.png,HGG\seg\patient057_slice109.png
HGG\flair\patient094_slice104.png,HGG\seg\patient094_slice104.png
